outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Mandatory,Social Security,2001-05-01,May 2001 Baseline,True,2007,7,578.0,581.4,-0.0,578.0,-3.5,-0.6
Mandatory,Social Security,2001-05-01,May 2001 Baseline,True,2008,8,608.4,612.1,-0.0,608.3,-3.8,-0.6
Mandatory,Social Security,2001-05-01,May 2001 Baseline,True,2009,9,642.7,677.7,13.8,656.5,-21.3,-3.1
Mandatory,Social Security,2001-05-01,May 2001 Baseline,True,2010,10,679.7,700.8,0.1,679.8,-20.9,-3.0
Mandatory,Social Security,2001-05-01,May 2001 Baseline,True,2011,11,718.8,724.9,-0.0,718.7,-6.2,-0.9
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2002,1,453.4,452.1,0.0,453.4,1.4,0.3
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2003,2,472.4,470.5,0.0,472.4,2.0,0.4
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2004,3,493.1,491.5,0.0,493.1,1.6,0.3
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2005,4,518.4,518.7,-0.0,518.4,-0.3,-0.1
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2006,5,545.6,543.9,-0.0,545.6,1.7,0.3
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2007,6,575.4,581.4,-0.0,575.3,-6.1,-1.0
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2008,7,607.5,612.1,-0.0,607.5,-4.6,-0.8
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2009,8,644.2,677.7,13.8,658.0,-19.8,-2.9
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2010,9,684.2,700.8,0.1,684.3,-16.5,-2.4
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2011,10,727.0,724.9,-0.0,727.0,2.1,0.3
Mandatory,Social Security,2002-03-01,March 2002 Baseline,True,2012,11,773.6,767.7,-0.1,773.6,5.8,0.8
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2003,1,473.0,470.5,0.0,473.0,2.6,0.5
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2004,2,494.4,491.5,0.0,494.5,2.9,0.6
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2005,3,514.3,518.7,-0.0,514.3,-4.4,-0.8
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2006,4,539.4,543.9,-0.0,539.4,-4.5,-0.8
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2007,5,567.3,581.4,-0.0,567.3,-14.2,-2.4
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2008,6,598.0,612.1,-0.0,597.9,-14.2,-2.3
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2009,7,632.5,677.7,13.8,646.3,-31.4,-4.6
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2010,8,670.2,700.8,0.1,670.3,-30.5,-4.4
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2011,9,710.8,724.9,-0.0,710.8,-14.2,-2.0
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2012,10,755.8,767.7,-0.1,755.8,-11.9,-1.6
Mandatory,Social Security,2003-03-01,March 2003 Baseline,True,2013,11,805.3,807.8,-0.1,805.2,-2.7,-0.3
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2004,1,492.4,491.5,0.0,492.4,0.9,0.2
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2005,2,512.9,518.7,0.0,512.9,-5.8,-1.1
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2006,3,533.4,543.9,0.0,533.4,-10.5,-1.9
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2007,4,558.6,581.4,0.0,558.6,-22.9,-3.9
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2008,5,586.4,612.1,0.0,586.4,-25.7,-4.2
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2009,6,617.9,677.7,13.8,631.8,-46.0,-6.8
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2010,7,652.8,700.8,0.1,653.0,-47.8,-6.8
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2011,8,690.3,724.9,0.0,690.3,-34.6,-4.8
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2012,9,732.3,767.7,-0.0,732.3,-35.4,-4.6
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2013,10,778.0,807.8,0.0,778.0,-29.9,-3.7
Mandatory,Social Security,2004-03-01,March 2004 Baseline,True,2014,11,826.8,844.9,0.0,826.9,-18.0,-2.1
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2005,1,516.1,518.7,0.0,516.1,-2.6,-0.5
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2006,2,540.2,543.9,0.0,540.2,-3.7,-0.7
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2007,3,565.2,581.4,0.0,565.2,-16.2,-2.8
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2008,4,593.0,612.1,0.0,593.0,-19.1,-3.1
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2009,5,625.2,677.7,13.8,639.1,-38.7,-5.7
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2010,6,660.4,700.8,0.1,660.6,-40.2,-5.7
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2011,7,698.5,724.9,0.0,698.5,-26.4,-3.6
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2012,8,741.4,767.7,-0.0,741.4,-26.4,-3.4
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2013,9,787.9,807.8,0.0,787.9,-19.9,-2.5
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2014,10,837.9,844.9,0.0,838.0,-6.9,-0.8
Mandatory,Social Security,2005-03-01,March 2005 Baseline,True,2015,11,891.7,881.9,0.2,891.9,10.0,1.1
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2006,1,550.1,543.9,0.0,550.1,6.1,1.1
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2007,2,578.5,581.4,0.0,578.5,-2.9,-0.5
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2008,3,606.6,612.1,0.0,606.6,-5.5,-0.9
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2009,4,638.4,677.7,13.8,652.3,-25.5,-3.8
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2010,5,673.9,700.8,0.1,674.0,-26.7,-3.8
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2011,6,710.8,724.9,0.0,710.8,-14.1,-1.9
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2012,7,754.0,767.7,-0.0,754.0,-13.7,-1.8
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2013,8,800.9,807.8,0.0,800.9,-7.0,-0.9
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2014,9,851.4,844.9,0.0,851.4,6.5,0.8
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2015,10,905.9,881.9,0.2,906.0,24.1,2.7
Mandatory,Social Security,2006-03-01,March 2006 Baseline,True,2016,11,964.1,910.3,0.3,964.5,54.2,6.0
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2007,1,580.8,581.4,0.0,580.8,-0.6,-0.1
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2008,2,607.7,612.1,0.0,607.7,-4.4,-0.7
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2009,3,638.1,677.7,13.8,651.9,-25.8,-3.8
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2010,4,673.2,700.8,0.1,673.3,-27.4,-3.9
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2011,5,710.6,724.9,0.0,710.6,-14.3,-2.0
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2012,6,752.7,767.7,-0.0,752.7,-15.0,-2.0
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2013,7,799.5,807.8,0.0,799.5,-8.4,-1.0
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2014,8,849.3,844.9,0.0,849.4,4.5,0.5
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2015,9,903.2,881.9,0.2,903.4,21.5,2.4
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2016,10,961.3,910.3,0.3,961.6,51.3,5.6
Mandatory,Social Security,2007-03-01,March 2007 Baseline,True,2017,11,1023.6,939.2,0.5,1024.1,84.9,9.0
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2008,1,611.7,612.1,0.0,611.7,-0.4,-0.1
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2009,2,646.2,677.7,13.8,660.1,-17.7,-2.6
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2010,3,680.4,700.8,0.1,680.5,-20.2,-2.9
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2011,4,715.0,724.9,0.0,715.0,-9.9,-1.4
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2012,5,756.1,767.7,-0.0,756.1,-11.6,-1.5
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2013,6,801.8,807.8,0.0,801.8,-6.0,-0.7
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2014,7,851.0,844.9,0.0,851.0,6.1,0.7
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2015,8,903.8,881.9,0.2,904.0,22.1,2.5
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2016,9,960.8,910.3,0.3,961.1,50.8,5.6
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2017,10,1022.2,939.2,0.5,1022.7,83.5,8.9
Mandatory,Social Security,2008-03-01,March 2008 Baseline,True,2018,11,1087.9,982.0,0.6,1088.5,106.4,10.8
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2009,1,677.4,677.7,0.0,677.4,-0.4,-0.1
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2010,2,695.3,700.8,-0.0,695.3,-5.4,-0.8
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2011,3,719.6,724.9,-0.0,719.6,-5.4,-0.7
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2012,4,747.8,767.7,-0.0,747.8,-19.9,-2.6
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2013,5,782.0,807.8,0.0,782.0,-25.8,-3.2
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2014,6,820.8,844.9,0.0,820.8,-24.0,-2.8
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2015,7,863.5,881.9,0.2,863.6,-18.2,-2.1
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2016,8,912.3,910.3,0.3,912.7,2.4,0.3
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2017,9,966.4,939.2,0.5,966.9,27.7,3.0
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2018,10,1024.2,982.0,0.6,1024.7,42.7,4.3
Mandatory,Social Security,2009-03-01,March 2009 Baseline,True,2019,11,1085.6,1038.5,0.5,1086.2,47.7,4.6
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2010,1,702.4,700.8,0.0,702.4,1.7,0.2
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2011,2,728.4,724.9,0.0,728.4,3.5,0.5
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2012,3,761.4,767.7,0.0,761.4,-6.3,-0.8
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2013,4,798.7,807.8,0.0,798.7,-9.2,-1.1
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2014,5,837.3,844.9,0.0,837.3,-7.6,-0.9
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2015,6,879.8,881.9,0.2,880.0,-1.9,-0.2
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2016,7,929.0,910.3,0.3,929.4,19.1,2.1
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2017,8,983.9,939.2,0.5,984.4,45.2,4.8
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2018,9,1043.0,982.0,0.6,1043.6,61.6,6.3
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2019,10,1106.5,1038.5,0.5,1107.0,68.6,6.6
Mandatory,Social Security,2010-03-01,Final March 2010 baseline,True,2020,11,1174.2,1089.9,0.5,1174.7,84.8,7.8
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2011,1,726.8,724.9,0.0,726.8,1.9,0.3
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2012,2,760.4,767.7,0.0,760.4,-7.4,-1.0
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2013,3,798.6,807.8,0.0,798.6,-9.2,-1.1
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2014,4,841.4,844.9,0.0,841.4,-3.4,-0.4
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2015,5,887.8,881.9,0.0,887.8,5.9,0.7
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2016,6,938.5,910.3,-0.0,938.5,28.3,3.1
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2017,7,995.3,939.2,-0.0,995.3,56.1,6.0
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2018,8,1057.6,982.0,-0.0,1057.5,75.5,7.7
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2019,9,1123.6,1038.5,-0.1,1123.5,85.0,8.2
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2020,10,1193.7,1089.9,-0.2,1193.6,103.7,9.5
Mandatory,Social Security,2011-03-01,March 2011 Baseline,True,2021,11,1265.6,1128.8,-0.2,1265.3,136.5,12.1
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2012,1,769.4,767.7,0.0,769.4,1.7,0.2
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2013,2,812.9,807.8,0.0,812.9,5.1,0.6
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2014,3,856.0,844.9,0.0,856.0,11.1,1.3
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2015,4,900.4,881.9,0.0,900.4,18.5,2.1
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2016,5,948.3,910.3,-0.0,948.3,38.0,4.2
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2017,6,1002.2,939.2,-0.0,1002.2,63.0,6.7
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2018,7,1060.8,982.0,-0.0,1060.8,78.8,8.0
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2019,8,1124.7,1038.5,-0.1,1124.6,86.1,8.3
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2020,9,1193.6,1089.9,-0.2,1193.4,103.5,9.5
Mandatory,Social Security,2012-03-01,March 2012 Baseline,True,2021,10,1264.9,1128.8,-0.2,1264.7,135.8,12.0
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2013,1,808.8,807.8,0.0,808.8,0.9,0.1
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2014,2,848.2,844.9,0.0,848.2,3.4,0.4
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2015,3,894.1,881.9,0.0,894.1,12.2,1.4
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2016,4,944.2,910.3,-0.0,944.2,33.9,3.7
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2017,5,998.8,939.2,-0.0,998.8,59.6,6.3
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2018,6,1057.2,982.0,-0.0,1057.2,75.2,7.7
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2019,7,1120.6,1038.5,-0.1,1120.5,82.0,7.9
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2020,8,1189.2,1089.9,-0.2,1189.0,99.1,9.1
Mandatory,Social Security,2013-05-01,CBO May 2013 Baseline,True,2021,9,1260.3,1128.8,-0.2,1260.1,131.2,11.6
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2014,1,844.9,844.9,0.0,844.9,0.0,0.0
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2015,2,883.7,881.9,0.0,883.7,1.8,0.2
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2016,3,930.6,910.3,-0.0,930.6,20.3,2.2
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2017,4,986.4,939.2,-0.0,986.4,47.2,5.0
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2018,5,1048.0,982.0,-0.0,1047.9,65.9,6.7
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2019,6,1114.8,1038.5,-0.1,1114.7,76.2,7.3
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2020,7,1186.6,1089.9,-0.2,1186.4,96.5,8.9
Mandatory,Social Security,2014-04-01,April 2014 Baseline,True,2021,8,1261.8,1128.8,-0.2,1261.6,132.7,11.8
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2015,1,883.1,881.9,0.0,883.1,1.2,0.1
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2016,2,919.8,910.3,0.0,919.8,9.5,1.0
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2017,3,968.1,939.2,-0.0,968.1,28.9,3.1
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2018,4,1028.9,982.0,-0.0,1028.9,46.9,4.8
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2019,5,1093.6,1038.5,-0.1,1093.5,55.0,5.3
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2020,6,1163.3,1089.9,-0.2,1163.2,73.3,6.7
Mandatory,Social Security,2015-03-01,March 2015 Baseline,True,2021,7,1236.6,1128.8,-0.2,1236.4,107.6,9.5
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2016,1,910.6,910.3,0.0,910.6,0.4,0.0
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2017,2,946.7,939.2,0.0,946.7,7.5,0.8
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2018,3,1002.8,982.0,0.0,1002.8,20.8,2.1
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2019,4,1066.8,1038.5,0.0,1066.8,28.3,2.7
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2020,5,1134.9,1089.9,0.0,1134.9,45.0,4.1
Mandatory,Social Security,2016-03-01,March 2016 baseline,True,2021,6,1206.5,1128.8,0.1,1206.5,77.7,6.9
Mandatory,Social Security,2017-06-01,June 2017 Baseline,True,2017,1,939.2,939.2,0.0,939.2,-0.0,-0.0
Mandatory,Social Security,2017-06-01,June 2017 Baseline,True,2018,2,988.4,982.0,0.0,988.4,6.4,0.7
Mandatory,Social Security,2017-06-01,June 2017 Baseline,True,2019,3,1049.3,1038.5,0.0,1049.3,10.8,1.0
Mandatory,Social Security,2017-06-01,June 2017 Baseline,True,2020,4,1114.4,1089.9,0.0,1114.4,24.5,2.2
Mandatory,Social Security,2017-06-01,June 2017 Baseline,True,2021,5,1183.8,1128.8,0.1,1183.8,55.0,4.9
Mandatory,Social Security,2018-04-01,"April 2018 Baseline, adjusted",True,2018,1,984.4,982.0,0.0,984.4,2.4,0.2
Mandatory,Social Security,2018-04-01,"April 2018 Baseline, adjusted",True,2019,2,1043.3,1038.5,0.0,1043.3,4.8,0.5
Mandatory,Social Security,2018-04-01,"April 2018 Baseline, adjusted",True,2020,3,1109.6,1089.9,0.0,1109.6,19.7,1.8
Mandatory,Social Security,2018-04-01,"April 2018 Baseline, adjusted",True,2021,4,1179.5,1128.8,0.1,1179.6,50.8,4.5
Mandatory,Social Security,2019-05-01,May 2019 Baseline,True,2019,1,1037.6,1038.5,0.0,1037.6,-0.9,-0.1
Mandatory,Social Security,2019-05-01,May 2019 Baseline,True,2020,2,1098.7,1089.9,0.0,1098.7,8.8,0.8
Mandatory,Social Security,2019-05-01,May 2019 Baseline,True,2021,3,1165.8,1128.8,0.1,1165.8,37.0,3.3
Mandatory,Social Security,2020-03-01,March 2020 Baseline,True,2020,1,1091.2,1089.9,0.0,1091.2,1.4,0.1
Mandatory,Social Security,2020-03-01,March 2020 Baseline,True,2021,2,1153.1,1128.8,0.1,1153.2,24.4,2.2
Mandatory,Social Security,2021-07-01,2021 July Baseline,True,2021,1,1129.0,1128.8,0.0,1129.0,0.1,0.0
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1992,1,118.0,116.2,0.0,118.0,1.8,1.6
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1993,2,130.5,127.9,0.0,130.5,2.6,2.1
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1994,3,144.7,141.8,-2.1,142.6,0.8,0.6
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1995,4,161.0,156.9,-5.5,155.5,-1.3,-0.9
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1996,5,180.6,171.3,-11.6,169.0,-2.3,-1.3
Mandatory,Medicare,1992-03-01,March 1992 Baseline,True,1997,6,201.7,187.4,-16.2,185.5,-1.9,-1.0
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1993,1,131.3,127.9,0.0,131.3,3.4,2.6
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1994,2,149.3,141.8,-2.1,147.2,5.4,3.8
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1995,3,168.6,156.9,-5.5,163.1,6.2,3.9
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1996,4,189.4,171.3,-11.6,177.9,6.6,3.9
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1997,5,211.8,187.4,-16.2,195.6,8.1,4.3
Mandatory,Medicare,1993-03-01,March 1993 Baseline,True,1998,6,235.6,190.2,-26.4,209.3,19.0,10.0
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1994,1,142.6,141.8,0.0,142.6,0.8,0.5
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1995,2,157.5,156.9,0.0,157.5,0.6,0.4
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1996,3,175.2,171.3,0.0,175.3,4.0,2.3
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1997,4,193.1,187.4,0.3,193.4,6.0,3.2
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1998,5,212.0,190.2,-6.2,205.9,15.6,8.2
Mandatory,Medicare,1994-04-01,April 1994 Baseline,True,1999,6,236.0,187.7,-16.0,220.0,32.3,17.2
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,1995,1,158.1,156.9,0.0,158.1,1.2,0.8
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,1996,2,178.7,171.3,0.0,178.8,7.5,4.4
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,1997,3,197.5,187.4,0.3,197.8,10.3,5.5
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,1998,4,215.9,190.2,-6.2,209.7,19.5,10.3
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,1999,5,237.3,187.7,-16.0,221.3,33.6,17.9
Mandatory,Medicare,1995-04-01,April 1995 Baseline,True,2000,6,260.8,194.1,-26.8,233.9,39.8,20.5
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1996,1,176.1,171.3,0.0,176.1,4.9,2.8
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1997,2,194.9,187.4,0.3,195.2,7.8,4.2
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1998,3,213.8,190.2,-6.2,207.6,17.4,9.2
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1999,4,233.4,187.7,-16.0,217.4,29.7,15.8
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2000,5,254.4,194.1,-26.8,227.6,33.5,17.2
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2001,6,277.0,214.1,-12.7,264.2,50.2,23.4
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2002,7,301.2,227.7,-29.9,271.2,43.5,19.1
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2003,8,328.4,245.7,-32.0,296.4,50.7,20.6
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2004,9,359.0,264.9,-34.4,324.5,59.7,22.5
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2005,10,393.0,294.3,-38.5,354.5,60.2,20.4
Mandatory,Medicare,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2006,11,430.9,324.9,-29.4,401.5,76.6,23.6
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,1997,1,188.6,187.4,0.0,188.6,1.1,0.6
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,1998,2,205.5,190.2,-6.1,199.5,9.2,4.9
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,1999,3,225.7,187.7,-15.5,210.2,22.5,12.0
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2000,4,249.5,194.1,-26.0,223.5,29.4,15.1
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2001,5,261.1,214.1,-11.8,249.3,35.3,16.5
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2002,6,288.1,227.7,-28.9,259.2,31.5,13.8
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2003,7,312.6,245.7,-30.9,281.7,36.0,14.6
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2004,8,340.3,264.9,-33.3,307.0,42.1,15.9
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2005,9,380.5,294.3,-37.4,343.1,48.8,16.6
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2006,10,407.0,324.9,-28.3,378.6,53.8,16.5
Mandatory,Medicare,1997-03-01,March 1997 Baseline (Pre-Policy),True,2007,11,431.8,370.8,21.1,452.9,82.1,22.1
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,1998,1,196.9,190.2,0.0,196.9,6.7,3.5
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,1999,2,208.2,187.7,0.2,208.3,20.6,11.0
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2000,3,218.5,194.1,3.0,221.6,27.4,14.1
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2001,4,239.7,214.1,8.4,248.0,34.0,15.9
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2002,5,246.2,227.7,12.1,258.3,30.6,13.4
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2003,6,270.9,245.7,10.2,281.1,35.4,14.4
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2004,7,291.9,264.9,13.6,305.5,40.6,15.3
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2005,8,324.7,294.3,17.5,342.2,47.8,16.3
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2006,9,330.4,324.9,43.9,374.3,49.4,15.2
